date,lat_bin,lon_bin,mmsi,fishing_hours
2014-07-20,0,-1296,416004421,9.1706944444444431
2014-07-20,0,1624,441018000,1.7831944444444443
2014-07-20,0,2,263821000,3.7127777777777777
2014-07-20,0,1,263821000,1.2175
2014-07-20,512,27,205269000,0.65069444444444446
2014-07-20,512,-57,205237000,2.4023611111111109
2014-07-20,512,-63,250000908,4.0093055555555557
2014-07-20,512,-64,250000908,3.4208333333333329
2014-07-20,512,-62,250000399,7.1993055555555561
2014-07-20,512,-66,250103600,4.2018055555555556
2014-07-20,512,-67,250103600,1.6973611111111111
2014-07-20,512,-57,226216000,1.6934722222222223
2014-07-20,512,-58,227314000,0.26388888888888884
2014-07-20,512,-57,227314000,1.3886111111111112
2014-07-20,512,-64,227314000,6.8055555555555562
2014-07-20,512,-56,227314000,1.4530555555555555
2014-07-20,512,-47,235096403,5.4452777777777781
2014-07-20,512,-46,235096403,1.3195833333333333
2014-07-20,512,1597,273822810,2.6301388888888888
2014-07-20,512,1595,273822810,1.6333333333333333
2014-07-20,512,-63,250470000,1.0695833333333333
2014-07-20,512,-63,250113400,1.5791666666666666
2014-07-20,512,-64,250113400,9.3290277777777781
2014-07-20,512,1591,273846400,9.8002777777777776
2014-07-20,512,-46,235021469,1.8022222222222222
2014-07-20,512,-45,235021469,3.0976388888888891
2014-07-20,512,-47,235021469,16.407361111111108
2014-07-20,512,-63,250000546,11.878333333333334
2014-07-20,512,-65,250000546,2.3597222222222221
2014-07-20,512,30,205273000,0.64708333333333334
2014-07-20,512,29,205273000,0.43083333333333329
2014-07-20,512,-104,227385000,9.4054166666666674
2014-07-20,512,-53,235003310,6.8188888888888881
2014-07-20,512,-54,235003310,2.4943055555555556
2014-07-20,512,1453,273812400,4.5402777777777779
2014-07-20,512,-62,250510000,0.21500000000000002
2014-07-20,512,28,205315000,2.747638888888889
2014-07-20,512,-104,224792000,15.973472222222224
2014-07-20,512,29,205272000,4.8106944444444437
2014-07-20,512,30,205272000,0.42402777777777778
2014-07-20,512,28,205272000,0.21083333333333332
2014-07-20,512,-64,250001093,3.0683333333333334
2014-07-20,512,-63,250001093,4.7918055555555554
2014-07-20,512,-64,250477000,3.3194444444444442
2014-07-20,512,-63,250477000,2.7293055555555554
2014-07-20,512,29,205026000,0.62
2014-07-20,512,-62,250002896,1.135
2014-07-20,512,27,205271000,0.6415277777777777
2014-07-20,512,-105,224780000,8.4140277777777772
2014-07-20,512,-63,250001121,2.2479166666666668
2014-07-20,512,-64,250001121,2.6480555555555556
2014-07-20,512,28,205323000,3.1461111111111117
2014-07-20,512,29,205323000,0.6463888888888889
2014-07-20,768,315,273213500,3.1208333333333336
2014-07-20,768,314,273213500,2.3654166666666665
2014-07-20,768,319,273811080,1.5779166666666666
2014-07-20,768,322,273811080,1.536111111111111
2014-07-20,768,289,227895000,2.3915277777777777
2014-07-20,768,320,273326830,2.3475
2014-07-20,-256,19,224049630,1.7929166666666667
2014-07-20,-256,558,224556000,1.01375
2014-07-20,1,1,263821000,1.8602777777777777
2014-07-20,257,1196,413021051,3.6563888888888889
2014-07-20,257,-1132,367050490,6.0568055555555551
2014-07-20,513,-63,250002435,6.0308333333333328
2014-07-20,513,28,205269000,2.7493055555555559
2014-07-20,513,27,205269000,0.43222222222222223
2014-07-20,513,-56,205237000,1.3043055555555556
2014-07-20,513,-57,205237000,8.5334722222222243
2014-07-20,513,-58,205237000,0.31708333333333333
2014-07-20,513,-62,250000908,0.62666666666666671
2014-07-20,513,-63,250000908,3.7440277777777777
2014-07-20,513,-63,250000399,7.6570833333333335
2014-07-20,513,-1787,367444760,1.8151388888888889
2014-07-20,513,-1786,367444760,6.3095833333333342
2014-07-20,513,-66,250103600,0.56819444444444445
2014-07-20,513,-62,250001205,0.75819444444444439
2014-07-20,513,-63,250001205,12.310833333333333
2014-07-20,513,-64,250001205,11.459861111111111
2014-07-20,513,1588,273894710,4.412638888888889
2014-07-20,513,32,205010000,2.0498611111111114
2014-07-20,513,31,205010000,1.0977777777777777
2014-07-20,513,-56,227314000,1.1719444444444447
2014-07-20,513,-47,235096403,0.820138888888889
2014-07-20,513,1597,273822810,2.5901388888888888
2014-07-20,513,1596,273822810,1.5069444444444444
2014-07-20,513,1595,273822810,4.528888888888889
2014-07-20,513,1590,273822810,2.9752777777777775
2014-07-20,513,1594,273822810,7.3765277777777776
2014-07-20,513,-65,250001767,12.452777777777778
2014-07-20,513,-64,250002023,9.0406944444444441
2014-07-20,513,-63,250113400,1.3472222222222221
2014-07-20,513,31,205328000,2.37625
2014-07-20,513,32,205328000,0.445
2014-07-20,513,30,205328000,2.3226388888888887
2014-07-20,513,-64,250000546,3.6556944444444444
2014-07-20,513,-63,250000546,1.044861111111111
2014-07-20,513,29,205273000,1.3283333333333334
2014-07-20,513,30,205273000,5.5866666666666669
2014-07-20,513,29,205017000,4.6865277777777772
2014-07-20,513,30,205017000,1.3072222222222221
2014-07-20,513,28,205017000,0.62847222222222221
2014-07-20,513,-104,227385000,7.0202777777777783
2014-07-20,513,-42,235032237,6.8177777777777777
2014-07-20,513,-41,235032237,5.9165277777777776
2014-07-20,513,-40,235032237,7.6154166666666674
2014-07-20,513,-39,235032237,0.67041666666666666
2014-07-20,513,-43,235032237,1.3863888888888889
2014-07-20,513,1448,273812400,6.0763888888888893
2014-07-20,513,31,205294000,5.7080555555555543
2014-07-20,513,29,205294000,1.2662499999999999
2014-07-20,513,30,205294000,6.4626388888888879
2014-07-20,513,30,205272000,2.1151388888888887
2014-07-20,513,31,205272000,1.2076388888888889
2014-07-20,513,-63,250001093,1.32
2014-07-20,513,-64,250001093,0.90444444444444438
2014-07-20,513,-63,250477000,7.2134722222222232
2014-07-20,513,30,205026000,6.9665277777777783
2014-07-20,513,31,205026000,0.22625
2014-07-20,513,29,205026000,4.7391666666666659
2014-07-20,513,-64,250000854,2.3390277777777779
2014-07-20,513,-65,250000854,3.1262499999999998
2014-07-20,513,-63,250000854,5.077638888888889
2014-07-20,513,28,205271000,2.5822222222222226
2014-07-20,513,27,205271000,0.21805555555555556
2014-07-20,513,-105,224780000,5.9458333333333337
2014-07-20,513,-63,250001121,7.855833333333333
2014-07-20,513,-64,250001121,2.390138888888889
2014-07-20,513,1533,273354220,12.429722222222221
2014-07-20,513,-64,250103800,5.7840277777777782
2014-07-20,513,-65,250103800,2.7680555555555557
2014-07-20,513,-62,250379000,0.1125
2014-07-20,513,-63,250001656,14.659166666666668
2014-07-20,513,-67,250001151,0.69124999999999992
2014-07-20,513,-66,250001151,0.2361111111111111
2014-07-20,769,321,273355290,1.54
2014-07-20,769,315,273355290,2.3269444444444445
2014-07-20,769,322,273355290,4.5829166666666667
2014-07-20,769,319,273355290,1.5684722222222223
2014-07-20,769,323,273355290,3.2152777777777777
2014-07-20,769,314,273355290,2.3556944444444445
2014-07-20,769,317,273817400,2.3436111111111111
2014-07-20,769,326,273550400,1.5709722222222222
2014-07-20,769,316,273354820,2.3333333333333335
2014-07-20,769,317,273354820,3.8734722222222224
2014-07-20,769,326,273316960,1.5333333333333332
2014-07-20,769,323,273316960,3.8972222222222221
2014-07-20,769,322,273316960,3.1165277777777778
2014-07-20,769,324,273811080,1.5933333333333333
2014-07-20,769,320,273811080,2.2927777777777778
2014-07-20,769,323,273811080,0.85569444444444442
2014-07-20,769,319,273811080,1.5515277777777778
2014-07-20,769,320,273431440,1.5404166666666668
2014-07-20,769,321,273431440,3.1222222222222222
2014-07-20,769,290,227895000,1.5404166666666668
2014-07-20,769,318,273326830,1.5829166666666667
2014-07-20,-255,-1603,224015550,3.4890277777777774
2014-07-20,2,1624,431070000,1.4208333333333334
2014-07-20,514,34,205632000,2.4626388888888888
2014-07-20,514,-62,250002435,6.860555555555556
2014-07-20,514,-64,250002435,1.6115277777777779
2014-07-20,514,-63,250002435,4.1891666666666669
2014-07-20,514,-61,250002435,3.3459722222222221
2014-07-20,514,-62,250103560,1.0058333333333334
2014-07-20,514,-63,250103560,11.157361111111113
2014-07-20,514,-61,250103560,8.32777777777778
2014-07-20,514,-58,205237000,0.375
2014-07-20,514,-56,205237000,2.3469444444444445
2014-07-20,514,-55,205237000,0.43083333333333335
2014-07-20,514,-54,205237000,2.0668055555555553
2014-07-20,514,-57,205237000,0.71916666666666662
2014-07-20,514,32,244245000,0.98166666666666658
2014-07-20,514,-63,250000908,0.2638888888888889
2014-07-20,514,-61,250000908,0.67527777777777775
2014-07-20,514,-62,250000908,0.2125
2014-07-20,514,27,244938000,3.0844444444444439
2014-07-20,514,28,244938000,9.58361111111111
2014-07-20,514,-1791,367444760,5.8590277777777784
2014-07-20,514,-1789,367444760,0.7844444444444445
2014-07-20,514,-1790,367444760,0.86819444444444449
2014-07-20,514,-1786,367444760,1.5888888888888888
2014-07-20,514,-63,250105650,8.781944444444445
2014-07-20,514,-62,250105650,4.9347222222222227
2014-07-20,514,1557,273332830,3.8345833333333332
2014-07-20,514,1558,273332830,3.4456944444444444
2014-07-20,514,1556,273332830,9.15236111111111
2014-07-20,514,-63,250002023,7.2618055555555552
2014-07-20,514,-64,250002023,2.5197222222222222
2014-07-20,514,-52,205275000,3.0612500000000002
2014-07-20,514,-51,205275000,4.5361111111111114
2014-07-20,514,-50,205275000,1.6569444444444446
2014-07-20,514,-53,205275000,0.40416666666666667
2014-07-20,514,-63,250113400,2.9720833333333334
2014-07-20,514,-62,250113400,0.47791666666666666
2014-07-20,514,25,227311230,0.36027777777777775
2014-07-20,514,30,205296000,0.21680555555555556
2014-07-20,514,32,205296000,0.42402777777777778
2014-07-20,514,31,205296000,4.723472222222223
2014-07-20,514,40,244780417,0.2088888888888889
2014-07-20,514,30,205017000,13.001388888888888
2014-07-20,514,31,205017000,3.1870833333333333
2014-07-20,514,-52,205241000,0.68680555555555567
2014-07-20,514,-50,205241000,2.7101388888888893
2014-07-20,514,-51,205241000,6.445
2014-07-20,514,-42,235032237,1.4070833333333335
2014-07-20,514,1448,273812400,5.61
2014-07-20,514,33,245571000,0.21513888888888888
2014-07-20,514,41,244780474,0.20902777777777778
2014-07-20,514,40,924467387,2.7511111111111117
2014-07-20,514,-63,250001093,2.4918055555555556
2014-07-20,514,-62,250001093,0.24569444444444444
2014-07-20,514,22,205101000,9.7924999999999986
2014-07-20,514,-63,250477000,1.2434722222222223
2014-07-20,514,-65,250000854,5.5595833333333333
2014-07-20,514,-64,250000854,2.7726388888888889
2014-07-20,514,-51,205239000,8.9419444444444434
2014-07-20,514,-49,205239000,0.93097222222222231
2014-07-20,514,-50,205239000,5.4519444444444449
2014-07-20,514,-62,250001121,1.3948611111111111
2014-07-20,514,-63,250001121,2.3298611111111112
2014-07-20,514,-61,250001911,6.135
2014-07-20,514,-63,250001911,10.942916666666669
2014-07-20,514,-64,250001911,5.1934722222222227
2014-07-20,514,-62,250001911,2.8125
2014-07-20,514,-62,250103800,2.2323611111111115
2014-07-20,514,-63,250103800,8.30888888888889
2014-07-20,514,-64,250103800,5.1825
2014-07-20,514,-64,250001656,6.5322222222222219
2014-07-20,514,-63,250001656,2.3394444444444442
2014-07-20,514,-68,250001151,0.7725
2014-07-20,514,-69,250001151,0.51777777777777767
2014-07-20,770,286,273312270,4.6404166666666669
2014-07-20,770,287,273312270,3.1166666666666667
2014-07-20,770,319,273355290,1.5593055555555555
2014-07-20,770,317,273355290,1.560138888888889
2014-07-20,770,320,273355290,1.5706944444444444
2014-07-20,770,318,273355290,4.6894444444444447
2014-07-20,770,316,273817400,3.1111111111111112
2014-07-20,770,318,273817400,2.3473611111111112
2014-07-20,770,314,273817400,9.3313888888888883
2014-07-20,770,314,273213500,1.5723611111111111
2014-07-20,770,313,273213500,1.5550000000000002
2014-07-20,770,315,273213500,3.8944444444444448
2014-07-20,770,318,273213500,1.5541666666666667
2014-07-20,770,322,273550400,3.0816666666666666
2014-07-20,770,323,273550400,1.55
2014-07-20,770,324,273550400,0.80847222222222226
2014-07-20,770,320,273550400,4.6365277777777774
2014-07-20,770,325,273550400,0.84819444444444447
2014-07-20,770,319,273354820,1.5527777777777778
2014-07-20,770,315,273354820,3.1165277777777778
2014-07-20,770,316,273354820,8.6070833333333336
2014-07-20,770,313,273354820,3.9023611111111114
2014-07-20,770,323,273316960,3.1481944444444445
2014-07-20,770,321,273316960,5.4127777777777775
2014-07-20,770,322,273316960,4.6795833333333334
2014-07-20,770,320,273316960,3.1636111111111114
2014-07-20,770,289,225318000,3.1680555555555552
2014-07-20,770,317,273811080,1.5763888888888888
2014-07-20,770,319,273811080,1.5530555555555556
2014-07-20,770,320,273811080,3.111388888888889
