date,lat_bin,lon_bin,mmsi,fishing_hours
2012-06-15,0,-1176,900200898,3.729166666666667
2012-06-15,-512,-625,224004000,5.6919444444444451
2012-06-15,-256,1610,431380000,2.4293055555555556
2012-06-15,-256,1620,431380000,2.3072222222222223
2012-06-15,-256,1609,431380000,1.4165277777777778
2012-06-15,-256,1618,431380000,5.7837500000000013
2012-06-15,1,-1177,515673576,3.8288888888888892
2012-06-15,1,-1176,515673576,3.7531944444444445
2012-06-15,513,1789,338250000,0.78027777777777774
2012-06-15,513,1790,338250000,0.013055555555555556
2012-06-15,513,1448,273345710,6.4044444444444446
2012-06-15,513,9,234999260,20.917083333333334
2012-06-15,769,129,257258000,1.5661111111111112
2012-06-15,769,130,257258000,1.5833333333333333
2012-06-15,-511,-624,224004000,3.0345833333333334
2012-06-15,2,-1180,412326879,4.0230555555555547
2012-06-15,2,-1179,412326879,1.8055555555555554
2012-06-15,514,-1291,316003349,9.1205555555555566
2012-06-15,514,-1293,316003349,5.4377777777777787
2012-06-15,514,1615,273898600,4.6618055555555555
2012-06-15,514,1614,273898600,5.7431944444444447
2012-06-15,514,-1293,316002160,0.088333333333333333
2012-06-15,514,1612,273891710,6.1315277777777775
2012-06-15,514,41,244615597,0.29402777777777778
2012-06-15,514,40,244615597,0.50069444444444444
2012-06-15,514,42,244615597,1.8177777777777777
2012-06-15,514,1448,273345710,5.4856944444444444
2012-06-15,514,41,244750560,0.89333333333333331
2012-06-15,514,40,244750560,5.4806944444444428
2012-06-15,770,127,257258000,1.5583333333333333
2012-06-15,770,131,257543500,1.5555555555555556
2012-06-15,-510,-624,224004000,1.6597222222222223
2012-06-15,3,1789,441066000,4.8800000000000008
2012-06-15,3,1790,441066000,3.0781944444444447
2012-06-15,3,-1181,412420252,1.7598611111111111
2012-06-15,3,-1182,412420252,1.8834722222222222
2012-06-15,3,-1179,412420252,5.2694444444444448
2012-06-15,3,-1180,412326879,3.2551388888888888
2012-06-15,3,-1181,412326879,1.8134722222222224
2012-06-15,515,1784,338250000,1.880972222222222
2012-06-15,515,41,244798000,1.4948611111111112
2012-06-15,515,40,245224000,2.8051388888888895
2012-06-15,515,1615,273898600,1.5415277777777778
2012-06-15,515,1614,273898600,5.4884722222222226
2012-06-15,515,29,205189000,4.0740277777777774
2012-06-15,515,39,244228000,0.37638888888888888
2012-06-15,515,1439,273447080,3.7931944444444445
2012-06-15,771,124,257258000,1.5644444444444443
2012-06-15,771,129,257543500,3.1651388888888889
2012-06-15,-509,-623,224004000,1.5444444444444443
2012-06-15,4,1789,440542000,9.150555555555556
2012-06-15,516,-1294,316003349,1.0402777777777779
2012-06-15,516,39,245567000,0.76597222222222228
2012-06-15,516,-109,228021800,6.8872222222222224
2012-06-15,516,1617,273898600,3.1369444444444445
2012-06-15,516,1612,273891710,6.4586111111111117
2012-06-15,516,1613,273891710,4.6986111111111111
2012-06-15,516,39,246437000,3.7551388888888884
2012-06-15,516,1439,273447080,1.56375
2012-06-15,516,1438,273421500,6.3915277777777773
2012-06-15,772,128,257543500,1.5763888888888888
2012-06-15,-508,-622,224506000,1.5525
2012-06-15,-508,-622,224004000,4.4595833333333337
2012-06-15,-508,-623,224897000,6.471111111111111
2012-06-15,-508,-626,224491000,3.015
2012-06-15,517,-116,227957000,21.750972222222224
2012-06-15,517,-1295,316003349,3.8265277777777778
2012-06-15,517,-1294,316003349,3.9458333333333329
2012-06-15,517,1618,273898600,1.4468055555555557
2012-06-15,517,1617,273898600,0.79972222222222222
2012-06-15,517,1439,273447080,1.6108333333333333
2012-06-15,517,1438,273421500,1.5779166666666666
2012-06-15,517,-142,250000884,3.6926388888888888
2012-06-15,773,121,257258000,1.588888888888889
2012-06-15,773,123,257258000,1.5966666666666667
2012-06-15,773,124,257543500,1.5597222222222222
2012-06-15,773,128,257543500,1.5791666666666666
2012-06-15,-507,1672,440288000,4.8779166666666676
2012-06-15,-507,1673,440288000,0.79472222222222222
2012-06-15,-507,1671,441044000,1.5750000000000002
2012-06-15,-507,1672,441044000,4.575277777777778
2012-06-15,-507,1672,440980000,1.600138888888889
2012-06-15,-507,1672,441182000,1.6084722222222223
2012-06-15,-507,1673,441182000,4.8826388888888888
2012-06-15,-507,1671,440890000,1.5997222222222223
2012-06-15,-507,-621,224506000,12.240416666666667
2012-06-15,-507,-620,224506000,2.2804166666666665
2012-06-15,-507,-620,224547000,5.3958333333333339
2012-06-15,-507,-765,725002460,9.911944444444444
2012-06-15,-507,-622,224897000,2.2419444444444441
2012-06-15,-507,-620,224897000,1.6641666666666668
2012-06-15,-507,-621,224897000,3.0595833333333333
2012-06-15,-507,-623,224491000,1.5430555555555556
2012-06-15,-507,-625,224491000,1.6683333333333334
2012-06-15,-507,-621,224491000,3.0137500000000004
2012-06-15,518,-116,227957000,3.2318055555555558
2012-06-15,518,39,245617000,2.6663888888888891
2012-06-15,518,38,245617000,1.685972222222222
2012-06-15,518,1614,273891710,1.6586111111111113
2012-06-15,518,1440,273447080,9.5291666666666668
