date,lat_bin,lon_bin,mmsi,fishing_hours
2013-01-30,512,1549,273821210,11.091805555555556
2013-01-30,512,1551,273821210,6.0081944444444453
2013-01-30,512,1550,273821210,6.2801388888888887
2013-01-30,512,-57,227336000,8.9223611111111119
2013-01-30,512,-79,227378000,1.6619444444444444
2013-01-30,512,-78,227378000,0.44388888888888889
2013-01-30,512,1550,273825110,4.5986111111111114
2013-01-30,512,-59,228236700,1.3995833333333332
2013-01-30,512,17,226220000,1.4786111111111109
2013-01-30,512,18,226220000,1.27625
2013-01-30,512,19,226220000,0.22402777777777777
2013-01-30,512,21,227141600,0.685138888888889
2013-01-30,512,20,227141600,2.6598611111111112
2013-01-30,512,19,227141600,0.91541666666666666
2013-01-30,-512,-760,725002300,2.9940277777777777
2013-01-30,257,-151,616927000,1.237638888888889
2013-01-30,257,570,422524000,19.393194444444443
2013-01-30,257,-151,242925000,2.1790277777777778
2013-01-30,513,-59,227336000,5.0502777777777776
2013-01-30,513,-77,227378000,0.64541666666666664
2013-01-30,513,-78,227378000,1.0994444444444444
2013-01-30,513,1581,273332830,3.2959722222222223
2013-01-30,513,19,226220000,0.64180555555555552
2013-01-30,513,18,226220000,1.5806944444444444
2013-01-30,513,17,226220000,0.518888888888889
2013-01-30,258,-151,242135100,2.6612500000000003
2013-01-30,258,-150,242135100,1.7701388888888889
2013-01-30,258,1196,412442771,10.508750000000001
2013-01-30,258,-150,242925000,0.62375
2013-01-30,258,-151,242925000,3.8680555555555562
2013-01-30,258,-150,265485000,0.375
2013-01-30,258,-151,265485000,3.777916666666667
2013-01-30,514,1549,273843200,4.928055555555555
2013-01-30,514,17,246485000,0.88638888888888878
2013-01-30,514,-53,205162000,2.5652777777777778
2013-01-30,514,40,244740629,2.4883333333333333
2013-01-30,514,41,244740629,1.8279166666666666
2013-01-30,514,1549,273821210,3.285
2013-01-30,514,41,244780578,2.2897222222222227
2013-01-30,514,1550,273848100,7.1530555555555555
2013-01-30,514,1548,273848100,6.2861111111111105
2013-01-30,514,41,244750140,0.20319444444444446
2013-01-30,514,40,244750140,1.6581944444444443
2013-01-30,514,1552,273896000,3.2890277777777781
2013-01-30,514,1550,273896000,7.0045833333333327
2013-01-30,514,1549,273896000,4.1798611111111112
2013-01-30,514,1549,273318720,7.5798611111111116
2013-01-30,514,1550,273318720,1.6381944444444445
2013-01-30,514,-76,227378000,1.2716666666666665
2013-01-30,514,-77,227378000,3.5895833333333336
2013-01-30,514,1548,273825110,8.0438888888888886
2013-01-30,514,1581,273332830,3.3230555555555554
2013-01-30,514,1547,273442400,3.7736111111111112
2013-01-30,514,1550,273442400,1.5804166666666668
2013-01-30,514,1548,273442400,6.8595833333333331
2013-01-30,514,1549,273442400,4.1372222222222224
2013-01-30,514,-78,228231800,1.0805555555555555
2013-01-30,514,-76,228231800,8.774861111111111
2013-01-30,514,-77,228231800,2.7081944444444446
2013-01-30,514,40,244780417,0.6283333333333333
2013-01-30,514,40,244750739,3.5077777777777781
2013-01-30,514,40,244228000,0.20166666666666666
2013-01-30,514,40,244615597,5.1347222222222229
2013-01-30,514,41,244615597,3.5051388888888892
2013-01-30,514,1547,273844910,4.1066666666666665
2013-01-30,514,1548,273844910,1.4680555555555554
2013-01-30,514,1549,273423800,4.8811111111111112
2013-01-30,514,41,244780474,0.40791666666666665
2013-01-30,514,40,246296000,9.795416666666668
2013-01-30,514,41,244770262,7.893472222222222
2013-01-30,514,39,235086553,4.5555555555555562
2013-01-30,514,40,235086553,3.1743055555555557
2013-01-30,259,-149,242135100,0.80222222222222217
2013-01-30,259,-150,242135100,7.4923611111111121
2013-01-30,259,1203,412441683,1.9716666666666667
2013-01-30,259,1203,412441520,0.23972222222222223
2013-01-30,259,1202,412441520,1.82375
2013-01-30,259,-150,242925000,8.4854166666666675
2013-01-30,259,-149,242925000,2.2694444444444444
2013-01-30,259,-150,265485000,4.9076388888888882
2013-01-30,259,-149,265485000,1.045
2013-01-30,515,18,246485000,1.2140277777777777
2013-01-30,515,17,246485000,0.20416666666666666
2013-01-30,515,40,244740629,0.41319444444444442
2013-01-30,515,28,245748000,2.8570833333333336
2013-01-30,515,41,244780578,2.9262499999999996
2013-01-30,515,40,244780578,0.20152777777777778
2013-01-30,515,1551,273848100,5.7902777777777779
2013-01-30,515,1554,273848100,1.4643055555555557
2013-01-30,515,1553,273848100,4.6409722222222225
2013-01-30,515,1552,273848100,0.78569444444444436
2013-01-30,515,1551,273896000,6.9690277777777778
2013-01-30,515,1552,273896000,7.6968055555555548
2013-01-30,515,1554,273318720,5.3041666666666671
2013-01-30,515,1551,273318720,2.439861111111111
2013-01-30,515,1552,273318720,5.4954166666666673
2013-01-30,515,40,245224000,3.7722222222222226
2013-01-30,515,-76,227378000,0.43180555555555555
2013-01-30,515,-78,227378000,0.2088888888888889
2013-01-30,515,-77,227378000,8.07777777777778
2013-01-30,515,1550,273825110,1.5306944444444444
2013-01-30,515,1551,273825110,1.5790277777777777
2013-01-30,515,1553,273825110,7.8604166666666675
2013-01-30,515,1554,273442400,1.6361111111111111
2013-01-30,515,1553,273442400,3.3038888888888889
2013-01-30,515,1548,273442400,3.8820833333333331
2013-01-30,515,-77,228231800,1.4888888888888889
2013-01-30,515,-79,228231800,1.4920833333333334
2013-01-30,515,-78,228231800,1.3762499999999998
2013-01-30,515,-80,228231800,1.0758333333333334
2013-01-30,515,40,244780417,9.3127777777777769
2013-01-30,515,40,244750739,0.41347222222222224
2013-01-30,515,39,244228000,6.9344444444444457
2013-01-30,515,1551,273844910,3.815833333333333
2013-01-30,515,1552,273844910,3.2877777777777775
2013-01-30,515,1550,273844910,5.5583333333333336
2013-01-30,515,1549,273844910,9.2434722222222216
2013-01-30,515,40,244780474,0.20527777777777778
2013-01-30,515,41,244780474,0.637361111111111
2013-01-30,515,40,244770262,1.0393055555555555
2013-01-30,4,1724,520241000,10.029583333333335
