date,lat_bin,lon_bin,mmsi,fishing_hours
2013-02-05,0,-1639,440549000,1.2602777777777776
2013-02-05,256,570,422525000,22.4125
2013-02-05,256,-152,242045000,1.173888888888889
2013-02-05,256,1693,431798000,1.0002777777777778
2013-02-05,512,18,244810000,1.7479166666666668
2013-02-05,512,19,244810000,4.0666666666666664
2013-02-05,512,-51,205169000,0.33111111111111113
2013-02-05,512,-50,205169000,5.986527777777777
2013-02-05,512,20,245325000,0.98208333333333331
2013-02-05,512,19,245325000,2.5504166666666666
2013-02-05,512,16,205165000,2.2781944444444449
2013-02-05,512,17,205165000,0.83236111111111111
2013-02-05,-512,1752,512027000,0.75
2013-02-05,-512,1753,512027000,2.4195833333333332
2013-02-05,-256,-451,401081889,3.5348611111111108
2013-02-05,-256,660,224696000,2.91125
2013-02-05,1,-1639,440549000,1.8098611111111111
2013-02-05,257,-151,616927000,1.5169444444444444
2013-02-05,257,-152,616927000,1.2447222222222223
2013-02-05,257,-151,242135100,11.340833333333332
2013-02-05,257,-151,242045000,1.7266666666666666
2013-02-05,257,1692,431798000,3.10625
2013-02-05,257,1693,431798000,0.77333333333333332
2013-02-05,513,-102,227829000,0.21541666666666665
2013-02-05,513,18,246557000,0.24222222222222223
2013-02-05,513,26,244221000,0.40486111111111112
2013-02-05,513,25,244221000,0.827638888888889
2013-02-05,513,24,244221000,0.10166666666666667
2013-02-05,513,40,246426000,4.6340277777777787
2013-02-05,513,20,245325000,3.3320833333333333
2013-02-05,513,18,245325000,1.9106944444444445
2013-02-05,513,17,205165000,2.3356944444444445
2013-02-05,513,18,205165000,1.5440277777777776
2013-02-05,513,16,205165000,0.61361111111111111
2013-02-05,513,-64,250000626,11.809583333333334
2013-02-05,769,124,273292700,2.3333333333333335
2013-02-05,-511,-762,725002300,4.9069444444444441
2013-02-05,-511,-539,740369000,4.0361111111111114
2013-02-05,-255,-451,401081889,5.9402777777777782
2013-02-05,-255,-198,224120000,3.212361111111111
2013-02-05,2,-1639,440549000,1.6808333333333334
2013-02-05,258,-150,242135100,5.0079166666666666
2013-02-05,258,-151,242135100,1.8876388888888889
2013-02-05,258,1196,412442741,11.371527777777777
2013-02-05,258,1196,412442771,0.49791666666666667
2013-02-05,514,18,246485000,0.88291666666666657
2013-02-05,514,17,246485000,0.5788888888888889
2013-02-05,514,-102,227829000,0.20124999999999998
2013-02-05,514,-77,228174600,0.78777777777777769
2013-02-05,514,-73,228174600,2.4025
2013-02-05,514,-75,228174600,10.033194444444444
2013-02-05,514,-76,228174600,8.9099999999999984
2013-02-05,514,-144,250186000,18.984444444444446
2013-02-05,514,40,244740629,1.442361111111111
2013-02-05,514,41,244740629,0.2026388888888889
2013-02-05,514,41,244031000,0.82111111111111112
2013-02-05,514,41,244780578,2.8227777777777781
2013-02-05,514,40,244780578,4.0319444444444441
2013-02-05,514,-82,227486000,6.9725000000000019
2013-02-05,514,-83,227486000,11.673055555555557
2013-02-05,514,-84,227486000,1.2456944444444444
2013-02-05,514,41,244780598,0.97430555555555554
2013-02-05,514,40,244780598,0.21055555555555555
2013-02-05,514,40,244750140,12.481805555555557
2013-02-05,514,41,244750140,4.9919444444444441
2013-02-05,514,1551,273896000,4.5556944444444447
2013-02-05,514,1552,273896000,5.6704166666666662
2013-02-05,514,18,246557000,13.481666666666667
2013-02-05,514,17,246557000,0.45472222222222219
2013-02-05,514,26,244221000,0.40680555555555553
2013-02-05,514,27,244221000,0.61388888888888893
2013-02-05,514,-115,218066000,8.45861111111111
2013-02-05,514,-78,227314000,0.67777777777777781
2013-02-05,514,-84,227314000,2.71125
2013-02-05,514,-85,227314000,0.93027777777777776
2013-02-05,514,-81,227314000,1.0155555555555558
2013-02-05,514,-83,227314000,4.7491666666666674
2013-02-05,514,-82,227314000,1.8444444444444443
2013-02-05,514,-79,227314000,1.2202777777777776
2013-02-05,514,-80,227314000,1.2334722222222221
2013-02-05,514,-83,227366000,5.1604166666666673
2013-02-05,514,-82,227366000,3.4922222222222223
2013-02-05,514,1551,273821310,1.5818055555555555
2013-02-05,514,1550,273821310,9.3963888888888878
2013-02-05,514,1549,273821310,1.5416666666666665
2013-02-05,514,1552,273821310,0.80569444444444449
2013-02-05,514,40,244780417,0.66347222222222224
2013-02-05,514,-76,228190600,15.217777777777776
2013-02-05,514,-75,228190600,3.7677777777777779
2013-02-05,514,-72,228954000,12.187222222222221
2013-02-05,514,40,244750739,3.7091666666666669
2013-02-05,514,-101,235055004,0.4572222222222222
2013-02-05,514,40,245476000,3.0912499999999996
2013-02-05,514,40,244615597,2.0894444444444442
2013-02-05,514,41,244615597,2.2765277777777784
2013-02-05,514,1550,273423800,6.1318055555555553
2013-02-05,514,1552,273423800,7.1930555555555555
2013-02-05,514,41,244780474,0.21958333333333332
2013-02-05,514,1551,273829310,6.4144444444444435
2013-02-05,514,19,245325000,0.65597222222222218
2013-02-05,514,18,245325000,15.185555555555556
2013-02-05,514,18,205165000,1.1152777777777776
2013-02-05,514,19,205165000,0.70666666666666678
2013-02-05,514,27,245473000,0.43222222222222223
2013-02-05,770,120,273292700,2.3972222222222221
2013-02-05,770,119,273292700,1.5805555555555557
2013-02-05,770,121,273292700,2.3305555555555557
