date,lat_bin,lon_bin,mmsi,fishing_hours
2015-11-09,0,-1046,431424000,3.1751388888888887
2015-11-09,0,-1107,263584000,2.4276388888888887
2015-11-09,0,-1104,735059255,1.5288888888888887
2015-11-09,0,-1105,735059255,1.3650000000000002
2015-11-09,0,-1047,735058806,0.43138888888888893
2015-11-09,0,-1046,735058806,1.61375
2015-11-09,0,-1363,338873000,2.5216666666666674
2015-11-09,0,-1365,338873000,3.7484722222222224
2015-11-09,0,-1113,224015550,2.16263888888889
2015-11-09,0,-1363,303137000,1.7398611111111104
2015-11-09,0,-928,730059000,0.54458333333333331
2015-11-09,0,-934,730059000,0.17055555555555557
2015-11-09,0,-936,730059000,3.6037500000000002
2015-11-09,0,-933,730059000,0.25180555555555556
2015-11-09,0,-931,730059000,4.4483333333333333
2015-11-09,512,-110,250001676,2.5069444444444446
2015-11-09,512,-107,250001676,1.9431944444444444
2015-11-09,512,-106,250001676,2.0916666666666668
2015-11-09,512,-117,227583000,1.6345833333333335
2015-11-09,512,16,205161000,1.7858333333333334
2015-11-09,512,18,205161000,1.5205555555555557
2015-11-09,512,17,205161000,5.9195833333333328
2015-11-09,512,-59,228236600,0.26361111111111113
2015-11-09,512,-57,228236600,1.2908333333333333
2015-11-09,512,-58,228236600,5.8604166666666666
2015-11-09,512,19,244179000,1.6933333333333331
2015-11-09,512,20,244179000,0.26069444444444445
2015-11-09,512,20,245148000,0.39986111111111111
2015-11-09,512,22,245148000,0.58736111111111111
2015-11-09,512,-1300,316001649,8.76388888888889
2015-11-09,512,-80,228190600,2.3627777777777776
2015-11-09,512,-82,228190600,1.8493055555555551
2015-11-09,512,-77,228190600,3.5183333333333335
2015-11-09,512,24,205273000,4.8231944444444439
2015-11-09,512,29,205026000,5.7193055555555556
2015-11-09,512,30,205026000,0.76611111111111119
2015-11-09,512,-1291,316014803,4.2426388888888891
2015-11-09,512,-1290,316014803,10.0975
2015-11-09,512,-1292,316014803,2.9254166666666666
2015-11-09,512,-1294,316014803,0.73763888888888907
2015-11-09,512,-1293,316014803,3.9152777777777779
2015-11-09,512,22,245441000,0.53277777777777779
2015-11-09,512,20,245441000,0.26180555555555557
2015-11-09,512,28,205281000,1.6240277777777778
2015-11-09,512,21,246273000,1.8691666666666669
2015-11-09,512,19,246273000,0.2388888888888889
